"SID","TestID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22"
"673359",555555,"0","1","1","1","1","0","1","0","0","1","0","0","0","1","0","0","1","0","1","1","1","0"
"586697",555555,"1","1","0","0","0","1","1","0","1","0","1","1","1","1","0","1","0","1","0","0","0","0"
"225584",555555,"1","0","0","1","1","1","1","0","1","1","0","1","0","1","1","1","0","0","1","1","1","1"
"342909",555555,"1","0","0","0","0","1","0","1","0","1","1","1","1","1","1","1","1","0","1","0","0","0"
"774532",555555,"1","1","0","1","0","0","1","1","1","1","0","0","1","0","0","1","0","1","0","0","1","1"
"674488",555555,"0","1","0","1","1","0","1","0","1","1","1","1","1","1","0","0","1","0","0","0","1","1"
"298623",555555,"0","0","0","1","0","1","0","1","1","1","0","1","1","1","0","0","1","0","1","0","0","0"
"657567",555555,"1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","0","0","0","1","1","0","0"
"225178",555555,"0","1","1","0","1","1","1","1","1","0","1","1","1","0","1","0","0","1","0","1","0","1"
"381599",555555,"1","0","1","0","1","0","0","1","0","1","1","0","0","1","0","1","0","1","1","1","0","0"
"133989",555555,"1","0","0","1","1","1","0","0","1","1","1","0","1","1","1","0","0","1","1","0","1","0"
"493061",555555,"1","1","1","0","0","1","1","0","0","1","1","1","1","0","1","1","1","0","1","1","0","0"
"762128",555555,"0","0","0","1","1","1","1","0","1","1","1","0","1","0","1","1","0","1","1","1","1","0"
"165134",555555,"1","1","0","0","0","1","0","1","0","0","0","1","1","0","1","0","0","0","1","1","0","0"
"205551",555555,"1","1","0","0","1","1","1","1","1","1","1","0","0","1","0","1","1","0","1","1","1","0"
"892255",555555,"1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"458648",555555,"1","1","0","0","0","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","0","1"
"852227",555555,"0","0","1","0","1","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1"
"127753",555555,"1","1","0","1","1","1","1","1","1","0","1","1","0","1","0","0","0","1","0","0","1","0"
"783413",555555,"1","0","1","0","0","1","0","0","0","1","1","1","0","1","0","1","1","1","0","0","0","1"
"470773",555555,"1","0","0","1","1","1","0","0","0","0","0","1","0","1","0","0","1","1","1","1","0","1"
"183563",555555,"1","1","0","1","1","1","0","0","1","1","1","0","1","0","1","1","1","1","0","1","1","1"
"566573",555555,"1","0","1","1","0","0","1","1","1","1","0","0","1","1","0","0","1","0","1","0","1","0"
"176448",555555,"1","0","1","0","0","1","0","1","0","0","0","1","0","1","0","1","0","1","0","0","0","0"
"942024",555555,"1","0","1","1","0","0","1","0","1","1","1","1","0","1","1","1","0","0","1","1","0","1"
"635882",555555,"1","0","1","1","1","0","0","0","1","1","0","0","1","0","0","0","1","1","1","0","1","0"
"660848",555555,"0","1","0","1","0","1","1","0","1","1","0","1","0","0","0","1","1","1","1","1","1","0"
"900532",555555,"0","1","1","0","1","0","0","1","0","1","0","1","0","0","1","1","1","0","0","0","0","1"
"708320",555555,"0","1","0","1","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1"
"345403",555555,"1","1","1","1","1","1","0","1","1","1","1","1","0","0","0","0","0","0","0","1","0","1"
"857611",555555,"0","0","0","1","0","1","1","0","1","0","1","0","1","0","0","0","0","1","0","1","0","1"
"131470",555555,"0","0","1","0","1","1","0","0","0","0","0","1","0","0","1","0","1","1","0","1","1","1"
"939645",555555,"1","0","1","1","0","1","0","1","1","0","0","1","0","1","1","0","1","0","1","0","1","1"
"209365",555555,"1","0","0","1","0","1","1","0","0","0","0","1","0","1","0","1","1","1","0","1","1","0"
"326783",555555,"0","0","1","0","1","0","0","0","0","0","1","0","1","1","1","0","1","1","0","1","0","0"
"509263",555555,"0","0","1","1","1","0","1","0","1","1","0","1","1","1","1","0","0","0","1","0","1","0"
"819684",555555,"1","0","1","1","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0"
"567576",555555,"0","1","1","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0"
"205558",555555,"1","1","0","1","0","0","1","1","0","0","1","0","0","0","0","1","1","0","0","0","0","1"
"276397",555555,"1","0","1","0","0","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","1","0"
"224786",555555,"1","0","1","0","1","1","0","0","1","0","0","0","1","0","0","0","1","0","1","0","1","1"
"512162",555555,"0","1","0","1","0","0","1","0","1","0","0","1","1","1","0","0","0","0","1","1","1","0"
"318617",555555,"1","0","1","0","1","0","0","0","0","1","1","1","1","1","1","1","0","0","1","1","1","1"
"620254",555555,"1","0","1","1","0","0","1","0","0","0","0","0","1","1","1","1","0","0","0","0","1","0"
"358118",555555,"1","1","0","0","1","1","0","1","1","1","0","1","1","1","0","1","1","1","0","1","1","1"
"974120",555555,"0","0","1","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0","0","1"
"973794",555555,"0","0","1","0","1","1","1","1","1","0","1","0","0","1","0","1","0","1","1","0","1","1"
"536113",555555,"1","0","0","0","1","1","1","0","1","0","1","0","1","1","1","1","0","1","0","0","1","1"
"813758",555555,"1","1","0","0","0","1","0","0","1","0","1","0","0","1","0","1","1","0","1","0","0","1"
"960487",555555,"1","0","1","0","1","0","1","0","1","0","0","0","1","0","0","1","1","1","0","1","0","0"
"318798",555555,"1","1","1","1","0","0","0","1","0","0","1","1","0","1","1","1","1","0","0","1","0","0"
"777878",555555,"0","1","0","0","1","0","0","0","0","1","1","0","1","0","1","1","1","1","0","0","1","0"
"895848",555555,"1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1","0","1","1","1","0","0"
"634690",555555,"0","0","1","0","0","1","1","1","1","0","0","1","0","0","1","0","1","1","1","0","0","1"
"834442",555555,"1","1","0","1","0","1","1","0","0","1","0","0","1","0","1","1","1","0","0","1","0","1"
"159718",555555,"0","1","0","0","0","1","1","0","1","0","1","0","0","1","1","1","1","1","0","0","0","1"
"332125",555555,"0","1","0","1","0","0","1","0","0","1","1","1","1","1","1","0","0","0","1","0","0","0"
"565521",555555,"1","0","1","1","0","0","0","1","0","0","1","1","1","1","0","1","1","1","1","0","1","0"
"840282",555555,"0","0","1","1","1","1","1","0","1","1","0","0","0","1","1","1","0","0","0","1","1","1"
"145197",555555,"0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","1","0","1","0","0","1","1"
"497868",555555,"0","1","1","0","1","1","1","1","0","0","0","0","1","0","0","1","0","1","0","0","0","1"
"293114",555555,"0","0","0","0","0","1","1","1","0","1","0","0","0","1","1","0","0","0","0","1","1","1"
"897455",555555,"0","0","0","0","1","0","1","1","1","0","0","1","1","1","1","0","0","0","1","0","0","1"
"536304",555555,"1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1"
"562109",555555,"0","1","1","1","0","1","1","0","0","0","1","0","1","1","0","0","0","0","1","0","0","1"
"585189",555555,"0","0","1","1","0","0","0","1","1","0","1","0","0","1","1","1","1","0","0","1","1","0"
"723034",555555,"1","1","1","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","1","1","0","1"
"403203",555555,"1","1","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","1"
"551009",555555,"0","1","0","1","0","0","1","1","1","1","0","0","0","0","0","1","1","1","1","1","1","0"
"140150",555555,"1","1","0","1","1","0","0","1","0","1","1","0","1","1","0","1","1","0","0","0","0","1"
"607440",555555,"0","0","0","0","0","0","1","0","1","1","0","1","0","1","0","0","1","1","1","1","1","0"
"861375",555555,"0","1","1","1","0","0","1","1","0","0","1","1","1","0","0","0","0","0","1","1","1","1"
"451584",555555,"1","0","0","1","0","0","0","1","0","0","0","1","1","1","0","1","0","0","0","1","0","0"
"181300",555555,"1","1","1","1","1","0","0","1","1","1","0","0","0","1","0","0","1","0","0","0","0","1"
"147930",555555,"1","0","0","1","0","0","1","1","1","0","0","1","1","1","1","1","1","0","0","1","0","1"
"658254",555555,"0","1","1","0","1","0","0","0","1","1","1","1","0","0","1","0","0","1","0","1","0","0"
"219764",555555,"0","1","0","1","0","1","1","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1"
"732446",555555,"0","0","1","1","0","0","1","0","1","1","1","0","0","0","0","0","1","0","0","0","1","0"
"142699",555555,"0","1","1","0","0","0","1","0","1","1","1","0","0","1","1","0","0","0","0","0","0","1"
"889507",555555,"1","0","0","0","0","0","0","1","0","1","0","1","1","1","0","0","1","1","1","0","0","0"
"990211",555555,"1","1","0","0","0","1","0","1","1","1","0","0","0","1","1","1","1","1","1","1","0","0"
"755504",555555,"1","1","0","1","0","1","1","1","0","0","1","1","1","1","0","0","1","1","1","0","0","0"
"671674",555555,"0","1","0","1","1","1","1","1","1","0","1","1","1","1","0","1","0","1","0","0","0","1"
"409598",555555,"1","0","1","1","0","0","1","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0"
"978669",555555,"1","1","0","1","1","1","1","1","0","1","0","0","1","0","1","1","0","1","1","1","1","0"
"384671",555555,"1","0","1","0","0","1","0","0","1","1","0","0","1","0","0","1","0","0","0","0","1","1"
"455712",555555,"0","1","0","1","1","1","1","0","1","1","0","0","1","1","1","0","1","0","1","0","1","1"
"183957",555555,"1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0","0"
"540392",555555,"1","1","0","1","0","0","1","1","0","1","1","0","1","1","0","0","1","1","0","0","1","1"
"134576",555555,"0","0","1","1","1","1","1","0","0","1","0","0","1","1","0","0","1","1","0","0","0","0"
"190379",555555,"1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1"
"582521",555555,"0","1","1","0","0","0","1","1","0","1","1","1","0","1","0","1","0","1","0","0","0","0"
"739129",555555,"1","1","1","1","0","0","0","1","0","1","1","0","1","1","1","0","1","0","1","0","1","0"
"615830",555555,"0","0","1","1","0","0","1","0","1","1","0","1","0","0","1","0","1","0","0","0","1","1"
"709658",555555,"1","0","1","0","1","0","0","0","1","1","0","0","1","1","1","1","1","1","1","0","1","1"
"478083",555555,"0","0","1","1","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1"
"884137",555555,"0","1","0","0","1","0","1","1","0","0","1","1","1","1","0","1","1","1","1","1","0","0"
"848385",555555,"1","0","0","1","1","0","1","0","1","0","1","1","1","0","0","0","1","0","1","0","1","1"
"593887",555555,"0","1","1","1","1","0","1","0","1","0","0","0","1","1","1","1","0","0","0","0","0","0"
"476997",555555,"0","0","1","0","0","0","1","1","1","1","1","0","0","1","0","0","1","1","0","1","0","0"
"929115",555555,"0","1","1","0","1","0","1","1","0","1","0","1","1","0","1","1","1","0","0","0","0","1"
"902935",555555,"1","0","0","0","0","0","1","1","0","1","1","1","1","1","1","1","0","0","0","0","1","1"
"725431",555555,"0","0","1","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0"
"731047",555555,"0","0","0","1","0","0","1","1","1","0","0","1","1","1","1","0","1","1","1","0","0","0"
"212066",555555,"1","1","1","1","1","1","1","0","1","0","1","1","1","0","0","0","0","1","1","1","0","1"
"758996",555555,"1","0","0","1","1","0","0","0","1","1","0","0","0","0","1","0","1","1","0","0","1","0"
"705144",555555,"1","0","1","0","1","0","0","0","1","0","1","0","0","1","0","0","1","0","0","0","0","0"
"962144",555555,"0","1","1","0","0","1","0","0","1","1","0","1","1","1","1","1","1","1","0","0","1","0"
"732570",555555,"1","1","1","1","1","0","0","0","0","0","0","1","0","0","1","0","1","0","1","1","0","0"
"639676",555555,"0","1","0","1","0","0","0","1","1","0","0","0","0","1","1","0","1","0","1","0","1","0"
"605565",555555,"1","0","1","0","0","0","1","0","1","0","0","1","0","1","1","0","1","0","0","1","1","0"
"363763",555555,"1","1","1","0","0","0","1","0","1","0","0","1","0","0","0","0","1","0","0","1","1","0"
"713572",555555,"1","0","1","1","1","1","1","0","1","0","1","0","1","1","1","1","1","0","1","1","0","0"
"468565",555555,"1","0","0","1","1","0","1","0","1","0","0","1","0","1","1","1","0","1","0","1","1","0"
"336596",555555,"0","1","1","1","1","0","0","0","1","0","1","0","1","0","0","1","1","0","0","0","1","0"
"373203",555555,"0","0","1","1","1","0","1","0","1","0","0","1","1","1","0","1","1","1","1","0","0","1"
"653601",555555,"1","1","1","1","0","1","0","0","1","0","0","1","1","0","0","1","1","0","0","1","0","1"
"266093",555555,"1","1","1","0","1","1","0","1","0","1","1","0","1","1","0","0","1","1","0","1","0","1"
"871572",555555,"0","1","0","0","0","0","1","0","1","1","0","1","1","0","0","1","1","1","0","0","1","1"
"244971",555555,"1","1","0","0","0","0","1","1","1","0","1","1","0","1","1","1","0","0","0","1","1","0"
"754322",555555,"0","0","0","0","0","1","1","1","0","0","1","1","0","0","1","0","1","0","1","0","0","1"
"687444",555555,"0","0","0","1","0","0","0","0","0","1","1","1","1","0","1","0","0","1","1","0","0","0"
"688526",555555,"1","0","1","0","1","1","0","0","0","1","0","1","0","1","0","1","1","1","1","1","1","0"
"845523",555555,"1","1","1","0","0","1","1","0","0","1","1","1","1","1","1","1","0","0","1","1","1","1"
"482493",555555,"1","1","1","0","1","1","0","1","1","0","0","1","1","1","1","0","1","1","0","1","0","0"
"547693",555555,"0","0","0","0","1","0","0","1","0","1","0","0","1","0","0","0","1","1","0","1","1","0"
"120067",555555,"0","0","0","1","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"669266",555555,"1","0","1","0","0","0","1","1","1","0","1","0","0","0","0","1","0","0","1","0","0","1"
"847032",555555,"1","0","0","1","1","0","1","1","1","1","1","1","0","0","1","1","1","0","0","0","0","1"
"726833",555555,"1","1","0","0","1","1","1","0","0","0","1","1","1","0","0","0","1","0","1","0","0","0"
"974180",555555,"0","1","0","0","0","1","1","0","1","0","0","0","1","1","0","0","0","1","1","0","0","1"
"328838",555555,"0","0","0","1","0","0","1","0","1","1","1","1","1","0","1","0","1","0","1","1","0","1"
"456317",555555,"0","1","0","1","0","0","0","1","1","1","1","1","1","0","0","1","1","1","0","0","0","1"
"680125",555555,"1","0","0","1","1","1","1","1","0","1","0","0","0","0","1","0","0","0","1","1","1","1"
"584355",555555,"1","1","1","1","1","0","0","0","1","0","0","0","1","1","0","0","1","1","0","1","0","1"
"935521",555555,"1","0","1","0","0","0","1","1","1","0","1","1","1","0","1","0","0","0","1","0","1","0"
"157866",555555,"0","1","1","1","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0"
"175120",555555,"0","0","0","1","1","0","1","0","1","1","0","1","0","0","0","1","1","1","0","0","1","1"
"802022",555555,"1","1","0","1","1","1","0","0","1","0","1","0","0","1","0","1","1","1","0","0","0","1"
"839120",555555,"0","1","0","0","0","1","1","1","0","1","0","1","0","1","1","1","1","1","0","0","1","1"
"380090",555555,"1","0","1","1","1","0","1","1","0","0","0","0","0","0","1","0","0","1","0","1","0","1"
"952707",555555,"0","1","1","0","0","0","1","1","1","1","1","0","1","0","0","0","0","0","0","0","1","0"
"357543",555555,"1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","1","0"
"763595",555555,"1","1","1","1","0","0","0","0","1","0","0","0","0","1","1","0","1","0","1","0","1","1"
"880767",555555,"0","1","0","0","1","1","1","0","0","1","0","0","1","0","0","1","1","0","1","0","0","0"
"207022",555555,"1","0","1","0","0","1","0","0","1","1","1","0","1","1","0","0","1","0","1","0","1","1"
"236367",555555,"1","1","0","1","0","0","0","0","1","1","0","0","0","1","1","0","0","1","1","0","1","0"
"846548",555555,"1","0","1","1","1","1","0","1","1","0","1","1","0","0","1","0","0","1","0","1","1","1"
"823838",555555,"0","1","0","0","1","1","1","1","0","1","1","0","1","0","0","0","1","1","1","0","1","1"
"372550",555555,"1","1","1","1","1","1","1","1","0","0","0","1","1","0","1","1","0","0","0","0","1","1"
"451058",555555,"1","0","1","0","0","1","1","1","0","1","0","1","1","1","1","0","0","1","0","1","0","0"
"491429",555555,"1","1","1","1","1","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0"
"702276",555555,"1","1","1","1","0","1","0","0","0","1","1","0","1","1","1","0","0","1","1","1","0","0"
"435256",555555,"1","0","0","0","0","1","0","0","1","0","0","1","0","1","0","1","1","0","1","1","0","1"
"578476",555555,"0","0","1","0","1","1","0","0","0","0","1","1","1","1","1","1","0","1","0","0","1","1"
"884795",555555,"1","0","0","1","0","0","1","1","1","1","1","0","1","1","0","1","1","1","0","1","0","0"
"125996",555555,"0","0","1","0","0","1","0","1","1","1","1","0","1","1","0","1","0","1","1","0","0","0"
"838421",555555,"1","1","0","1","0","0","1","0","0","1","1","0","1","0","0","0","1","0","0","1","1","1"
"925243",555555,"1","0","0","1","1","0","0","0","0","0","0","1","1","0","1","1","0","0","0","1","0","0"
"125588",555555,"1","1","1","0","0","1","0","1","0","0","0","1","1","0","1","0","1","1","1","0","0","0"
"842479",555555,"1","0","1","0","1","0","1","0","0","1","0","0","1","1","0","1","1","1","0","0","0","0"
"376549",555555,"0","0","1","1","0","0","0","1","0","0","1","0","0","1","1","0","1","0","1","0","0","0"
"531863",555555,"1","1","0","1","1","0","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0"
"397613",555555,"1","1","0","0","1","0","0","1","0","1","1","1","0","0","1","0","1","1","0","0","0","1"
"438693",555555,"0","1","1","0","0","1","1","0","1","1","1","0","1","0","1","0","1","0","0","1","1","1"
"218032",555555,"0","1","0","1","1","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0"
"911507",555555,"1","1","0","0","0","1","1","0","0","1","0","0","0","0","1","0","1","1","0","0","0","1"
"718148",555555,"1","1","1","0","0","1","0","1","1","0","1","0","0","1","0","1","1","0","0","1","0","1"
"373488",555555,"1","1","1","1","0","0","0","0","1","1","0","1","1","1","1","0","0","1","1","0","1","1"
"980124",555555,"0","0","1","1","0","0","1","1","0","1","0","0","1","0","0","1","0","1","1","1","1","1"
"817892",555555,"0","1","0","0","0","0","1","0","0","0","1","1","0","1","1","0","1","1","0","0","0","0"
"281668",555555,"0","0","1","1","1","0","1","1","1","0","0","1","0","1","0","0","0","0","1","1","0","0"
"395173",555555,"1","0","0","1","0","1","0","0","1","0","1","0","0","1","1","0","0","1","1","0","1","0"
"486699",555555,"1","1","1","1","0","1","1","1","1","1","0","0","1","1","1","1","0","1","0","0","0","0"
"451138",555555,"1","1","0","1","1","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0"
"664858",555555,"0","0","0","1","1","1","0","0","1","0","1","1","0","0","1","0","1","0","0","1","1","0"
"756488",555555,"1","0","1","0","1","1","0","0","1","0","1","1","1","1","1","0","0","1","0","0","0","0"
"389123",555555,"0","0","0","0","1","1","1","0","0","0","0","1","1","0","1","1","0","0","0","1","1","1"
"295951",555555,"1","1","1","0","1","1","0","1","1","0","1","0","0","1","1","0","1","1","0","0","0","0"
"828083",555555,"0","0","1","1","0","1","1","0","0","1","0","0","1","1","0","1","0","0","0","0","1","0"
"874934",555555,"0","1","0","0","0","0","1","1","0","0","1","1","1","0","0","0","1","1","1","0","0","0"
"168039",555555,"1","1","0","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1"
"385816",555555,"0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","1","1","1","0","0","0","0"
"252011",555555,"1","1","0","0","1","1","1","0","0","0","0","0","1","1","0","0","1","0","1","1","1","1"
"510386",555555,"1","1","1","0","1","0","0","0","1","1","0","0","1","1","0","0","1","1","0","0","0","0"
"237016",555555,"1","1","0","1","0","0","1","1","1","0","1","1","0","1","0","0","0","0","0","0","1","1"
"779972",555555,"0","0","0","1","1","1","1","0","0","1","0","0","0","1","1","1","0","0","1","0","1","0"
"721076",555555,"1","1","1","0","0","1","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","1"
"716876",555555,"0","0","1","0","0","0","1","0","0","1","1","1","1","1","0","0","0","1","1","1","1","0"
"594040",555555,"1","1","1","1","1","0","0","0","0","1","0","0","0","1","1","0","0","1","1","1","1","1"
"876798",555555,"1","1","0","1","1","0","0","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1"
"803316",555555,"1","1","1","0","1","0","0","0","1","0","1","0","1","0","0","1","0","1","1","1","1","1"
"574137",555555,"1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","0","0","0","1","1","0","1"
"144440",555555,"1","0","1","0","1","1","0","1","1","1","0","1","1","1","1","0","0","0","0","1","0","0"
"581025",555555,"1","1","1","1","1","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","1","0"
"872499",555555,"0","0","0","1","0","0","1","1","1","1","0","0","0","0","0","0","0","1","0","1","0","0"
"201430",555555,"0","1","0","1","1","0","1","0","0","0","1","0","1","0","1","0","0","0","0","1","0","0"
"688985",555555,"0","0","1","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","1"
"100029",555555,"1","1","0","1","1","0","1","0","0","0","0","0","0","1","1","1","0","1","0","0","1","0"
"921727",555555,"0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","1","1","0","0","1","1","0"
"875948",555555,"1","1","1","1","0","0","0","1","0","1","1","0","0","0","1","1","0","0","0","1","0","0"
"670154",555555,"0","1","1","0","1","0","0","0","1","1","1","1","0","0","0","0","0","0","1","1","0","1"
"662893",555555,"0","1","1","0","0","1","1","1","1","1","0","0","1","1","1","1","1","1","0","1","1","0"
"543972",555555,"0","1","0","1","0","1","0","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0"
"914178",555555,"1","1","0","0","0","0","0","1","0","0","1","1","1","1","0","1","0","1","0","0","1","0"
"271524",555555,"0","1","0","1","0","1","0","1","0","0","1","0","1","0","0","1","0","0","1","0","1","1"
"579776",555555,"0","0","0","0","1","1","0","1","1","0","0","0","0","1","1","0","1","0","1","1","0","1"
"109047",555555,"1","0","0","0","1","0","1","1","1","0","1","1","1","0","1","1","1","1","1","0","1","1"
"724361",555555,"1","1","0","0","0","1","1","0","1","0","0","1","0","1","0","0","1","0","1","0","1","0"
"669916",555555,"1","1","0","1","1","0","0","0","1","0","1","0","0","0","0","1","0","1","1","0","1","0"
"989093",555555,"1","1","1","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","1","0","1","1"
"532466",555555,"1","0","1","0","0","0","0","1","1","1","1","1","0","0","1","0","1","0","1","0","0","1"
"390875",555555,"1","1","0","1","0","0","1","1","1","1","1","0","1","0","1","0","0","1","0","1","1","0"
"854388",555555,"1","1","0","1","0","1","1","1","0","0","1","1","1","1","0","0","0","1","1","0","0","0"
